Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2401.23,0.311907
instance10.txt,5,2312.47,0.293421
instance11.txt,5,2233.17,0.301916
instance12.txt,6,2441.38,0.306724
instance13.txt,6,2421.49,0.303168
instance14.txt,6,2301.69,0.298004
instance15.txt,5,2363.85,0.297439
instance16.txt,5,2355.28,0.304998
instance17.txt,6,2484.66,0.303467
instance18.txt,6,2570.03,0.297125
instance19.txt,6,2364.15,0.319611
instance1.txt,6,2413.46,0.306276
instance20.txt,6,2567.91,0.320365
instance2.txt,6,2428.62,0.316633
instance3.txt,6,2448.37,0.304718
instance4.txt,6,2410.04,0.32163
instance5.txt,6,2351.76,0.300894
instance6.txt,6,2407.95,0.297196
instance7.txt,5,2284.46,0.291246
instance8.txt,5,2284.35,0.306012
instance9.txt,6,2468.82,0.301209
