Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2447.69,0.316713
instance10.txt,5,2316.11,0.310862
instance11.txt,6,2275.26,0.324813
instance12.txt,6,2464.68,0.307562
instance13.txt,6,2448.71,0.307709
instance14.txt,6,2315.01,0.311795
instance15.txt,6,2406.38,0.313643
instance16.txt,6,2390,0.332193
instance17.txt,6,2522.2,0.339183
instance18.txt,6,2603.68,0.325577
instance19.txt,6,2403.83,0.313833
instance1.txt,6,2395.09,0.317537
instance20.txt,6,2621.01,0.318026
instance2.txt,6,2471.84,0.31441
instance3.txt,6,2490.03,0.31278
instance4.txt,6,2471.32,0.3209
instance5.txt,6,2386.73,0.30881
instance6.txt,6,2429.12,0.304253
instance7.txt,6,2354.95,0.315663
instance8.txt,6,2315.17,0.311752
instance9.txt,6,2507.49,0.305503
