Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2392.46,0.307124
instance10.txt,6,2324.94,0.307354
instance11.txt,5,2239.03,0.304543
instance12.txt,6,2444.23,0.303132
instance13.txt,6,2420.69,0.294175
instance14.txt,6,2284.96,0.311567
instance15.txt,6,2379.35,0.297498
instance16.txt,6,2357.86,0.305014
instance17.txt,6,2495.17,0.310492
instance18.txt,7,2567.21,0.316027
instance19.txt,6,2371.24,0.331246
instance1.txt,6,2380.04,0.328826
instance20.txt,6,2572.37,0.303519
instance2.txt,6,2426.64,0.461037
instance3.txt,6,2452.28,0.396151
instance4.txt,6,2424.32,0.311145
instance5.txt,6,2366.35,0.30569
instance6.txt,6,2405,0.301043
instance7.txt,5,2292.17,0.315887
instance8.txt,6,2297.47,0.317382
instance9.txt,6,2460.58,0.312977
