Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,8,3143.1,16.9067
instance10.txt,8,3050.3,12.2169
instance11.txt,7,3160.04,13.0694
instance12.txt,8,3037.61,16.9266
instance13.txt,8,3172.23,10.5291
instance14.txt,8,3011.77,17.5581
instance15.txt,8,3162.96,11.6972
instance16.txt,8,3187.06,9.11807
instance17.txt,8,3358.74,10.9954
instance18.txt,8,3304.68,18.1816
instance19.txt,8,3048.07,24.6116
instance1.txt,8,3087.58,25.6806
instance20.txt,8,3419.29,12.7665
instance2.txt,8,3216.37,25.4358
instance3.txt,8,3200.41,31.4664
instance4.txt,8,3128.87,25.9262
instance5.txt,8,3059.13,20.2653
instance6.txt,8,3105.19,12.6057
instance7.txt,8,3062.88,10.2546
instance8.txt,8,3041.88,13.686
instance9.txt,8,3192.17,13.1257
