Instancia, Zonas, CV, TV, CV Time, TV Time, CPU_TIME
instance1.txt, 40, 11, 4, 4887.35, 1158.30, 13.5893
instance2.txt, 40, 11, 3, 4609.45, 1174.93, 15.5186
