Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2405.55,0.321449
instance10.txt,6,2353.23,0.315741
instance11.txt,5,2274.2,0.33273
instance12.txt,6,2453.52,0.305903
instance13.txt,6,2427.17,0.309394
instance14.txt,6,2330.21,0.324746
instance15.txt,6,2416.88,0.338223
instance16.txt,6,2376.5,0.31051
instance17.txt,6,2530.27,0.31178
instance18.txt,6,2602.57,0.308891
instance19.txt,6,2385.31,0.314823
instance1.txt,6,2437.36,0.312202
instance20.txt,7,2607.25,0.314905
instance2.txt,6,2478.4,0.32071
instance3.txt,6,2491.27,0.332775
instance4.txt,6,2440.36,0.338904
instance5.txt,6,2389.4,0.336845
instance6.txt,6,2438.7,0.320486
instance7.txt,6,2366.17,0.308454
instance8.txt,6,2335.98,0.313794
instance9.txt,6,2484.44,0.304537
