Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2404.69,0.341033
instance10.txt,5,2339.3,0.318437
instance11.txt,5,2269.26,0.336906
instance12.txt,6,2458.62,0.432302
instance13.txt,6,2467.99,0.322865
instance14.txt,6,2315.46,0.317811
instance15.txt,6,2420.48,0.331221
instance16.txt,6,2384.98,0.333692
instance17.txt,6,2528.76,0.316715
instance18.txt,6,2599.34,0.315818
instance19.txt,6,2398.34,0.312535
instance1.txt,6,2433.13,0.312897
instance20.txt,7,2626.71,0.307726
instance2.txt,6,2425.26,0.313376
instance3.txt,6,2450.29,0.321891
instance4.txt,6,2452.2,0.324792
instance5.txt,6,2378.69,0.322753
instance6.txt,6,2442.7,0.315473
instance7.txt,6,2361.31,0.313965
instance8.txt,6,2311.41,0.323463
instance9.txt,6,2501.62,0.33123
