Instancia,Vehículos,Tiempo Total,Tiempo CPU
Explicación instance1.txt,6,2425.13,0.307925
instance10.txt,6,2331.28,0.30366
instance11.txt,5,2247.96,0.312379
instance12.txt,6,2457.95,0.312757
instance13.txt,6,2449.47,0.296754
instance14.txt,6,2300.68,0.297511
instance15.txt,6,2400.25,0.306348
instance16.txt,6,2365.55,0.302771
instance17.txt,6,2498.49,0.311861
instance18.txt,7,2594.55,0.312573
instance19.txt,6,2404.33,0.307727
instance1.txt,6,2426.38,0.314858
instance20.txt,7,2578.69,0.310243
instance2.txt,6,2436.06,0.305135
instance3.txt,6,2456.98,0.312669
instance4.txt,6,2440.62,0.296688
instance5.txt,6,2344.96,0.30124
instance6.txt,6,2417.72,0.302752
instance7.txt,6,2326.83,0.289793
instance8.txt,6,2298.91,0.30867
instance9.txt,6,2488.4,0.298647
