Instancia, Zonas, CV, TV, CV Time, TV Time, CPU_TIME
instance1.txt, 40, 11, 4, 4880.93, 1505.43, 0.00213282
instance2.txt, 40, 11, 4, 4607.80, 1450.28, 0.00182832
